SKU;QUALITY;NAME;COLOR;COMPOSITION;LOT;WIDTH;LENGTH;SIZE;@BARCODE;BARCODE CLIENT;REF
7750-1;val;ARTY;BLANC - BLEU - GRIS;100% Polypropylène;21001406;60;120;60x120;3701448238280;5903039449039;7750-VAL-1
7750-1;val;ARTY;BLANC - BLEU - GRIS;100% Polypropylène;21001406;80;150;80x150;3701448238297;5903039449046;7750-VAL-1
7750-1;val;ARTY;BLANC - BLEU - GRIS;100% Polypropylène;21001406;100;150;100x150;3701448238303;5903039449053;7750-VAL-1
7750-1;val;ARTY;BLANC - BLEU - GRIS;100% Polypropylène;21001406;120;170;120x170;3701448238310;5903039449060;7750-VAL-1
6700-25;val;ARTY;JAUNE;100% Polypropylène;21001406;60;120;60x120;3701448238327;5903039449077;6700-VAL-25
6700-25;val;ARTY;JAUNE;100% Polypropylène;21001406;80;150;80x150;3701448238334;5903039449084;6700-VAL-25
6700-25;val;ARTY;JAUNE;100% Polypropylène;21001406;100;150;100x150;3701448238341;5903039449091;6700-VAL-25
6700-25;val;ARTY;JAUNE;100% Polypropylène;21001406;120;170;120x170;3701448238358;5903039449107;6700-VAL-25
6700-26;val;ARTY;BLEU;100% Polypropylène;21001406;60;120;60x120;3701448238365;5903039449114;6700-VAL-26
6700-26;val;ARTY;BLEU;100% Polypropylène;21001406;80;150;80x150;3701448238372;5903039449121;6700-VAL-26
6700-26;val;ARTY;BLEU;100% Polypropylène;21001406;100;150;100x150;3701448238389;5903039449138;6700-VAL-26
6700-26;val;ARTY;BLEU;100% Polypropylène;21001406;120;170;120x170;3701448238396;5903039449145;6700-VAL-26
6043-9;val;ARTY;BLANC - BLEU - GRIS;100% Polypropylène;21001406;100;150;100x150;3701448238426;5903039449152;6043-VAL-9
6043-9;val;ARTY;BLANC - BLEU - GRIS;100% Polypropylène;21001406;120;170;120x170;3701448238433;5903039449169;6043-VAL-9
6043-9;val;ARTY;BLANC - BLEU - GRIS;100% Polypropylène;21001406;160;230;160x230;3701448238440;5903039449176;6043-VAL-9
6043-9;val;ARTY;BLANC - BLEU - GRIS;100% Polypropylène;21001406;200;290;200x290;3701448238457;5903039449183;6043-VAL-9
6065-6;val;ARTY;BLEU - GRIS;100% Polypropylène;21001406;100;150;100x150;3701448238488;5903039449190;6065-VAL-6
6065-6;val;ARTY;BLEU - GRIS;100% Polypropylène;21001406;120;170;120x170;3701448238495;5903039449206;6065-VAL-6
6065-6;val;ARTY;BLEU - GRIS;100% Polypropylène;21001406;160;230;160x230;3701448238501;5903039449213;6065-VAL-6
6065-6;val;ARTY;BLEU - GRIS;100% Polypropylène;21001406;200;290;200x290;3701448238518;5903039449220;6065-VAL-6
2918-5;val;ARTY;BLANC - GRIS - ROSE;100% Polypropylène;21001406;60;120;60x120;3701448238525;5903039449237;2918-VAL-5
2918-5;val;ARTY;BLANC - GRIS - ROSE;100% Polypropylène;21001406;80;150;80x150;3701448238532;5903039449244;2918-VAL-5
2918-5;val;ARTY;BLANC - GRIS - ROSE;100% Polypropylène;21001406;100;150;100x150;3701448238549;5903039449251;2918-VAL-5
2918-5;val;ARTY;BLANC - GRIS - ROSE;100% Polypropylène;21001406;120;170;120x170;3701448238556;5903039449268;2918-VAL-5
2918-5;val;ARTY;BLANC - GRIS - ROSE;100% Polypropylène;21001406;160;230;160x230;3701448238563;5903039449275;2918-VAL-5
5126-22;val;ARTY;BLANC - BLEU - JAUNE;100% Polypropylène;21001406;60;120;60x120;3701448238570;5903039449282;5126-VAL-22
5126-22;val;ARTY;BLANC - BLEU - JAUNE;100% Polypropylène;21001406;80;150;80x150;3701448238587;5903039449299;5126-VAL-22
5126-22;val;ARTY;BLANC - BLEU - JAUNE;100% Polypropylène;21001406;100;150;100x150;3701448238594;5903039449305;5126-VAL-22
5126-22;val;ARTY;BLANC - BLEU - JAUNE;100% Polypropylène;21001406;120;170;120x170;3701448238600;5903039449312;5126-VAL-22
5126-22;val;ARTY;BLANC - BLEU - JAUNE;100% Polypropylène;21001406;160;230;160x230;3701448238617;5903039449329;5126-VAL-22
8169-6;val;ARTY;ANTHRACITE ;100% Polypropylène;21001406;60;120;60x120;3701448238624;5903039449336;8169-VAL-6
8169-6;val;ARTY;ANTHRACITE ;100% Polypropylène;21001406;80;150;80x150;3701448238631;5903039449343;8169-VAL-6
8169-6;val;ARTY;ANTHRACITE ;100% Polypropylène;21001406;100;150;100x150;3701448238648;5903039449350;8169-VAL-6
8169-6;val;ARTY;ANTHRACITE ;100% Polypropylène;21001406;120;170;120x170;3701448238655;5903039449367;8169-VAL-6
8169-6;val;ARTY;ANTHRACITE ;100% Polypropylène;21001406;160;230;160x230;3701448238662;5903039449374;8169-VAL-6
UNI-TAUPE;sha;PRIMERO;TAUPE;100% Polypropylène;21001346;60;120;60x120;3701448238679;5903039449381;UNI-SHA-TAUPE
